id,left,top,right,bottom,row_index,col_index
"191",100.388146916,6.094396625,100.477616916,6.004782625,"7","3"
"192",100.388146916,6.004782625,100.477616916,5.915168625,"8","3"
"193",100.388146916,5.915168625,100.477616916,5.825554625,"9","3"
"194",100.388146916,5.825554625,100.477616916,5.735940625,"10","3"
"195",100.388146916,5.735940625,100.477616916,5.646326625,"11","3"
"196",100.388146916,5.646326625,100.477616916,5.556712625,"12","3"
"197",100.388146916,5.556712625,100.477616916,5.467098625,"13","3"
"198",100.388146916,5.467098625,100.477616916,5.377484625,"14","3"
"199",100.388146916,5.377484625,100.477616916,5.287870625,"15","3"
"200",100.388146916,5.287870625,100.477616916,5.198256625,"16","3"
"201",100.388146916,5.198256625,100.477616916,5.108642625,"17","3"
"202",100.388146916,5.108642625,100.477616916,5.019028625,"18","3"
"203",100.388146916,5.019028625,100.477616916,4.929414625,"19","3"
"204",100.388146916,4.929414625,100.477616916,4.839800625,"20","3"
"205",100.388146916,4.839800625,100.477616916,4.750186625,"21","3"
"206",100.388146916,4.750186625,100.477616916,4.660572625,"22","3"
"207",100.388146916,4.660572625,100.477616916,4.570958625,"23","3"
"208",100.388146916,4.570958625,100.477616916,4.481344625,"24","3"
"209",100.388146916,4.481344625,100.477616916,4.391730625,"25","3"
"210",100.388146916,4.391730625,100.477616916,4.302116625,"26","3"
"211",100.388146916,4.302116625,100.477616916,4.212502625,"27","3"
"212",100.388146916,4.212502625,100.477616916,4.122888625,"28","3"
"213",100.388146916,4.122888625,100.477616916,4.033274625,"29","3"
"214",100.388146916,4.033274625,100.477616916,3.943660625,"30","3"
"215",100.388146916,3.943660625,100.477616916,3.854046625,"31","3"
"216",100.388146916,3.854046625,100.477616916,3.764432625,"32","3"
"217",100.388146916,3.764432625,100.477616916,3.674818625,"33","3"
"218",100.388146916,3.674818625,100.477616916,3.585204625,"34","3"
