"BuildingID",latitude,longitude
5183935,7.82931047,99.54498815
3864137,7.85487832,100.03552009
4237325,7.79129164,98.31568399
5769813,7.87111156,99.54408524
2715193,6.91052776,100.5470814
4296826,6.33824001,100.35937582
2850459,5.39295975,100.2092378
1148390,5.51351554,100.54787985
1212561,6.66511753,100.2836999
5584030,9.57493169,99.99204261
3281619,7.64042493,100.11983889
590490,6.45691906,100.29900815
5090343,5.3743771,100.57522022
5189025,7.02022602,100.48063004
3257091,8.37655915,98.72279559
3432179,6.0932309,100.56179225
5508101,5.46815616,100.27773698
3100598,10.45889797,99.13240898
1615698,5.51092586,100.42502777
5339341,7.80568837,98.33637997
5165538,8.88401565,99.39827006
4210533,7.87298322,100.30025386
6125845,9.71928055,99.13731058
1614814,8.02607806,100.28181793
876402,8.21727946,98.83834258
2354861,5.45697758,100.43693802
1665771,5.88675377,100.53874737
3613929,9.08283103,99.16922431
1309880,7.55562831,99.60631149
1380685,5.70076973,100.44596455
317361,9.52778682,100.04070454
4690257,8.62732172,99.9117763
884946,6.20950872,100.45309113
3422482,7.68946095,99.61054382
4985648,6.17784226,100.43513733
1141393,7.07132079,100.44771188
1425947,5.40066128,100.54233481
3106658,7.096266,100.54107168
5582175,7.17490903,100.34775344
5481811,6.03396332,100.5640558
1545186,9.22173432,99.22904829
160300,8.87946354,99.3020226
2945620,7.04016028,100.34387529
1975176,5.29925011,100.26422788
229762,8.78437546,99.63194416
4403811,8.37612826,99.97331117
6040846,8.93003651,99.09945417
5535203,9.76072063,98.98574456
2917158,7.32508953,100.33806378
5547005,10.48331739,99.15447906
4660426,8.69866486,99.22878209
1996153,8.16866424,98.98986678
2665122,8.39239674,99.81321601
3428830,8.48737992,99.90485964
196256,7.66337854,99.11862625
1314024,5.42289589,100.39581417
379960,6.11437433,100.34835834
2551841,5.69841279,100.54529192
6056671,8.4586319,99.55885339
164310,7.13280913,100.58224477
5664599,5.81190885,100.52282467
944275,5.01779701,100.4301944
2442609,5.68940347,100.50126824
5447168,7.23858843,100.31163562
5366989,6.13618587,100.436985
5520636,5.52742638,100.46327845
1745480,5.97591351,100.47070172
383319,9.14001645,99.34895799
3189282,8.10919823,98.92063673
791992,6.93459971,100.46721158
1639401,7.61196871,99.43171224
5210396,8.83203346,99.35276541
5720165,8.26977452,98.33123664
4581503,5.44074214,100.39752904
2005404,8.07862958,98.56061325
3880763,7.81369711,98.30254014
2357000,5.35687182,100.58885052
4171919,10.43561544,99.24313687
2033033,5.38031568,100.53449385
6053406,5.33020807,100.26525957
1670910,8.77530257,98.86792236
4583682,9.12279744,99.31295935
626759,7.21387911,100.55065705
2911331,6.44052372,100.17217077
305807,7.92438231,98.38395668
3507452,5.35273711,100.42567662
625411,7.83186481,98.33700609
63313,8.11855153,100.09295728
5848173,5.7266982,100.50967392
3069515,6.13328074,100.35238564
1656715,8.67207517,98.83695844
3853193,5.72782231,100.5126489
5007715,5.40004261,100.46740335
206257,7.61240885,100.08505574
5053344,8.16988729,99.72402899
2942506,9.39758825,99.2408091
1718461,5.43506845,100.53464449
3601894,7.55885191,99.60739806
412687,7.02077352,100.49703096
5078287,5.43358459,100.30431508
373172,7.66458636,99.67816965
1467275,7.57489855,99.69029227
5973083,9.17097575,99.16997169
5703685,7.73464215,99.90755998
1215578,8.26423295,99.9103443
4531400,6.14209624,100.36094681
4052231,9.9484239,98.61315478
3544192,7.79372913,100.10087082
5013368,5.41182108,100.56289063
29548,7.77961784,98.31352304
2169974,5.27757397,100.48364014
2495383,7.60596527,100.01171056
5152638,6.97770327,100.38878053
3704938,7.97862408,98.31045071
5874794,6.31541072,100.3045197
1620169,5.68725926,100.49889371
4741237,9.05895,99.83840491
2131102,5.39266284,100.30176386
5240943,8.21963204,98.38973132
226734,5.50738938,100.52763208
5552942,5.0157556,100.43929338
1663600,8.43050948,99.93817541
3694307,5.21357958,100.495353
3216764,6.21311318,100.52899734
4316512,5.41331224,100.39819028
3971258,5.23200409,100.49134398
2529537,9.13259208,99.46754008
845338,6.77893857,100.40918184
3251217,7.81408424,99.64474123
3121076,8.70839569,98.91584719
2951649,7.77388288,99.48627795
4745662,6.10837784,100.47819369
4881421,7.8813459,98.29685362
4381408,8.65058653,99.92921855
1825068,7.10294458,100.40526782
5218049,6.96360477,100.32127967
2377384,8.38628715,99.97166348
5849696,7.88545548,98.97896671
3766026,7.6944799,99.93795463
3227551,7.57453558,100.1265355
4646213,9.45262054,99.19983186
1974981,8.2151049,99.14514345
1541612,8.351595,99.84769905
1103971,5.45015997,100.381884
4090009,6.22080679,100.5992456
2919872,8.05831123,98.81418287
1581065,9.17391561,99.09754459
4793884,5.0656775,100.59519127
4894512,6.14858043,100.41990281
2443831,9.42022492,99.9788569
1556274,9.48309105,100.03525762
913229,8.93028565,99.40207773
3171485,7.80589276,99.62456207
4166421,9.48372468,99.18820965
5251267,8.60971345,99.89887293
5445319,8.23717088,99.56085167
4439995,8.38533949,98.27620347
2696777,9.70770399,99.99861386
3858911,6.48551212,100.28662581
4917280,7.88796667,98.38325297
1979676,6.98357154,100.3701432
1866706,9.54048161,99.19167545
1182102,7.05737808,100.51144384
5427869,6.37017082,100.33887653
1916214,10.30983972,99.05140847
2880433,8.40475004,99.51838832
571649,5.38603188,100.28265958
4089943,6.26463751,100.41543909
896554,8.00028822,98.34917807
440663,8.12431383,98.90506732
2157934,9.57768488,100.06916542
2634572,7.52267867,99.62791252
5783102,6.33109259,99.73869725
2340988,7.0352579,100.4323761
4615966,8.3689471,100.21080298
2052815,9.04272006,99.10941439
4134696,6.84720102,99.94667186
3748509,6.45274854,100.21376742
3795436,5.00742984,100.40951601
3577257,5.36181336,100.45319875
2046329,5.19640604,100.49457902
231902,5.51890717,100.51602628
1637083,8.55570654,99.29345427
342701,9.173108,99.82696405
3516313,7.7344768,99.3106987
2817529,5.46309725,100.30618189
2187025,7.95361539,99.93953909
2400845,7.43235121,99.51341805
1052933,6.33997052,100.37401148
947692,7.07616822,100.56444418
2577770,6.36008862,100.29973327
1074923,6.65402548,100.42696214
1983164,7.84047005,98.3882564
5474314,7.16319139,100.54503205
1227532,9.33111407,99.11029269
1269284,7.53378465,99.60827759
5487665,6.1352729,100.61650811
3809657,5.97315781,100.41513006
4512364,5.67326481,100.45990345
1610580,7.98064094,100.25394466
4648538,8.01330889,98.32309525
4760186,7.65607343,100.08893149
3533100,7.73465102,100.02843438
4986067,7.80717481,100.27639138
1627371,8.04668233,99.98464696
3182985,5.51952071,100.50691064
1564641,7.15479491,100.36661941
1835653,7.13847953,100.27384403
682423,8.04438693,99.08323194
1977655,9.15390122,99.06512405
3036479,5.48670527,100.42401865
3952554,8.6699126,98.88426953
4534888,7.66332971,100.32939486
5285554,5.79504338,100.37055251
1540266,7.4537978,100.11212831
5648607,8.34600727,99.60682629
5606778,7.04847415,100.49098008
2629053,5.2745391,100.61687807
2497364,9.57941593,99.18492391
2897231,9.11657702,99.34448165
936534,8.01343058,99.86619181
3664486,6.15813257,100.32089782
2429986,7.50816882,99.72917336
