,id,left,top,right,bottom,row_index,col_index,API_18,Temp_18,Humidity_18,Precip_18,Wind_18,Vegetation_18,Traffic_18,Building,Altitude,Population_18
74,234,100.639352158271,6.301694625,100.777916222876,6.181694625,3,5,33.6120632286097,28.0163462887929,83.5818011502474,5.14153758227055,16.0961168165031,109493.680044272,27388.2856346283,76,71.6875,46.6963400470739
75,235,100.639352158271,6.181694625,100.777916222876,6.061694625,4,5,33.7881635451373,28.1012720516618,82.9135394037988,4.88780526053523,16.5925257358689,94583.6572538421,23826.932267952,104,99.0869565217391,56.440566162212
76,236,100.639352158271,6.061694625,100.777916222876,5.941694625,5,5,34.0016738183854,28.1307274925863,82.2846935959888,4.71488199292043,16.7476611165331,102291.930570266,20517.5074990934,96,141.403409090909,66.8244437413523
77,237,100.639352158271,5.941694625,100.777916222876,5.821694625,6,5,34.3246215795173,28.1171755493926,81.5549043933838,4.54329709365387,16.8289445237929,130909.671462175,15360.8638793462,100,165.096590909091,80.5945116171022
78,238,100.639352158271,5.821694625,100.777916222876,5.701694625,7,5,34.9008399616998,28.2397845760958,80.0573261289027,4.11716390683847,16.8488011397296,111497.124394705,11445.9069067718,141,101.804347826087,129.627603889837
79,239,100.639352158271,5.701694625,100.777916222876,5.581694625,8,5,35.2121819824232,28.2768865837159,79.4652044716419,3.93238296931171,16.8034873353026,123595.37373248,12061.4846038306,160,40.0284090909091,119.181880439886
80,240,100.639352158271,5.581694625,100.777916222876,5.461694625,9,5,35.710672753363,28.2541413376519,78.9805812366184,3.72970915589084,16.4519159188887,169643.596777063,12572.3408414602,122,39.1304347826087,116.463735879728
81,241,100.639352158271,5.461694625,100.777916222876,5.341694625,10,5,36.1514770362415,28.3066365044705,78.4780682663801,3.46474995727162,16.0037797887678,142236.318923812,17823.0755319906,72,89.7443181818182,90.4576249876137
82,242,100.639352158271,5.341694625,100.777916222876,5.221694625,11,5,36.5299537165022,28.2741438812314,78.3672479379222,3.33797283777769,15.3889519665748,135230.681839597,18293.615633622,116,58.9318181818182,114.170077833182
83,243,100.639352158271,5.221694625,100.777916222876,5.101694625,12,5,37.1506072178014,28.1821769486864,78.375467520919,3.18628104164504,14.3201661032459,149707.715687904,13614.4352425489,77,35.9728260869565,100.814919818043
