Unnamed: 0,id,left,top,right,bottom,row_index,col_index,API,Temp,Humidity,Precip,Wind,Vegetation,Traffic,Building,Altitude,Population,Year
848,1423,103.237428369624,1.681694625,103.375992434229,1.561694625,42,30,0.2551267754663381,0.7880909394701167,0.4803445832337761,0.4527528960298057,0.6805800939439144,0.1245838327908906,0.14338829822550248,0.0878754171301446,0.0051919779484572584,0.01793623770603573,2018
950,1744,103.964889708803,1.741694625,104.103453773408,1.621694625,41,37,0.25531369290508654,0.8989267512311244,0.2735638299548912,0.5263734206643356,0.7988425168426252,0.3256692856562217,0.17080493374477648,0.03337041156840934,0.034430583396790025,0.00549522857140675,2018
931,1649,103.757043611895,2.101694625,103.8956076765,1.981694625,38,35,0.25554641294478736,0.7687653443647382,0.7422454805245892,0.901303505342084,0.7444639230215524,0.3554535577005661,0.1848910290131505,0.006674082313681869,0.026337493910748137,0.0017839985309846603,2017
494,936,102.198197885083,4.921694625,102.336761949688,4.801694625,15,20,0.25587042000879584,0.6273730757536039,0.7358876396229587,0.5186746465886383,0.5383016377096678,0.9099907165757993,0.10474977419490109,0.002224694104560623,0.10791255695408528,0.0016222034153675082,2018
257,578,101.36681349745,3.721694625,101.505377562055,3.601694625,25,12,0.2560065732440117,0.9414324117596652,0.04671526546363052,0.7029432143192151,0.9902024561671148,0.17011204708008665,0.13727107879828487,0.025583982202447165,0.060617824822457866,0.005632805837405951,2018
503,945,102.198197885083,3.841694625,102.336761949688,3.721694625,24,20,0.25616110724103097,0.5801955631644863,0.760676826184585,0.7985851667605419,0.04287955074915634,0.5619903076416696,0.09793920039496713,0.006117908787541713,0.1553339842578638,0.002424477896356371,2019
295,652,101.574659594358,5.881694625,101.713223658963,5.761694625,7,14,0.2564078075587554,0.8204135092366674,0.3958771751648822,0.44095613460173877,0.9202074141405141,0.3362633902767944,0.15686607885346177,0.0,0.3795867184910056,0.0004829703294975544,2018
456,886,102.094274836629,5.341694625,102.232838901234,5.221694625,11,19,0.2564702456002527,0.8121907105869902,0.5167104896613998,0.43648481181176596,0.7135596709554551,0.6014081890034005,0.132910612634604,0.0027808676307007787,0.11453326075933665,0.0033622866874173374,2018
145,375,100.951121303633,6.001694625,101.089685368239,5.881694625,6,8,0.2570303825826343,0.8131601443080195,0.43989062989378575,0.40418818781090754,0.9099358023231592,0.3148982221179351,0.07113646433341128,0.0005561735261401557,0.4138816850009888,0.000630030621556421,2018
495,937,102.198197885083,4.801694625,102.336761949688,4.681694625,16,20,0.2572688746732938,0.5428256824378707,0.7731280439758549,0.6246543574023593,0.28956550644812284,0.9343385482857656,0.1227042588949405,0.0011123470522803114,0.16298870531044654,0.0011209182318135482,2019
382,789,101.88642873972,5.941694625,102.024992804326,5.821694625,6,17,0.2578748778389436,0.7495757743526584,0.45973976944518835,0.6916602467230821,1.0,0.0948217717991889,0.2341207786129004,0.04671857619577308,0.024980682651960604,0.013026699378545737,2017
397,804,101.88642873972,4.141694625,102.024992804326,4.021694625,21,17,0.2579077632042235,0.20031104038366634,0.7550025728076508,0.9251641589104719,0.5541398133124553,0.6679792265756331,0.028776016930063316,0.012235817575083427,0.09185842935117244,0.006466194191531472,2017
877,1468,103.341351418078,1.741694625,103.479915482684,1.621694625,41,31,0.25804245809515935,0.7723688474701967,0.5211915841495788,0.4201345211124938,0.6714728248857489,0.10654199073438515,0.38087827108596856,0.03281423804226919,0.008921751002614877,0.011374063181199183,2018
363,756,101.782505691266,4.441694625,101.921069755872,4.321694625,19,16,0.25805312687338416,0.11676865453529223,0.8893307692343756,0.5974224357542368,0.6330064114627985,0.6405030706860656,0.16317356833804258,0.0,0.1160109782281309,0.0009846873821026864,2018
229,530,101.262890448995,3.901694625,101.401454513601,3.781694625,23,11,0.2581044917630389,0.8494646778262549,0.18791919262642182,0.38186870534633366,0.44619630677176814,0.16715854848095713,0.19635727133038616,0.03114571746384872,0.04481273449350381,0.008032509096583568,2019
205,485,101.158967400541,3.841694625,101.297531465147,3.721694625,24,10,0.258106431062744,0.9224866302400121,0.0918748016145145,0.598949489391481,0.9369210955906256,0.1401049653698787,0.1493258079563494,0.007230255839822024,0.010788188127790756,0.002668327939087756,2018
898,1514,103.445274466532,1.801694625,103.583838531138,1.681694625,41,32,0.25818193451023663,0.7687553007408501,0.5337468695892329,0.40668440753109547,0.6691030094791554,0.10450247908542944,0.5226030739764818,0.041156840934371525,0.03526925921303685,0.014349670758199514,2018
116,300,100.743275206725,3.961694625,100.88183927133,3.841694625,23,6,0.2582996099003092,0.8551125779245652,0.24597142947266606,0.36991910005735507,0.7371628538308903,0.17042170609018964,0.19078693517418666,0.04449388209121246,0.0013360843347967656,0.01261160956907529,2018
203,483,101.158967400541,4.081694625,101.297531465147,3.961694625,22,10,0.2585743858189258,0.8085381862676423,0.25902510953998364,0.3009596642280394,0.4078825049848852,0.20262557160798983,0.20096085954846632,0.03281423804226919,0.02083214732989459,0.009905801105614552,2019
794,1353,103.13350532117,4.501694625,103.272069385775,4.381694625,18,29,0.25868247766371755,0.5740918771874844,0.9582873158200541,0.6122719156408979,0.6900206543851727,0.4482772954028759,0.1344303767456777,0.002224694104560623,0.09619237455604313,0.001642273147939489,2017
703,1221,102.821736175807,3.841694625,102.960300240413,3.721694625,24,26,0.25871253439134173,0.7282821994145687,0.7678248283504014,0.7021005373999134,0.1178496447777028,0.3321879811849502,0.13544306146202492,0.0005561735261401557,0.09971870266554074,0.0020879553029570282,2019
876,1467,103.341351418078,1.861694625,103.479915482684,1.741694625,40,31,0.2587925006609457,0.6816501253741615,0.719266495765771,0.6234823906933676,0.522293962958076,0.14115334084678996,0.3637521602510128,0.01557285873192436,0.030871344337245622,0.010881861563424161,2019
461,891,102.094274836629,4.741694625,102.232838901234,4.621694625,16,19,0.2591327491523941,0.42730394269878663,0.8205425966789728,0.633043365486506,0.2748448380205729,0.929253163331409,0.14411543729098186,0.0,0.39485883963993984,0.0003180130358104785,2019
184,438,101.055044352087,3.901694625,101.193608416693,3.781694625,23,9,0.25957054853542416,0.8979122997623872,0.14923775511618353,0.4986978874869789,0.8648291939404734,0.1322922084881471,0.1675940784830247,0.0027808676307007787,0.004231974503248386,0.0024945229092592992,2018
639,1131,102.613890078899,3.601694625,102.752454143505,3.481694625,26,24,0.2601178607118035,0.7024707492236755,0.8314764886707717,0.8184284016999026,0.22307738905621793,0.27655813373537835,0.12682830265405215,0.01167964404894327,0.041518296441092915,0.007981213970290519,2017
798,1357,103.13350532117,4.021694625,103.272069385775,3.901694625,22,29,0.26026773539181497,0.7455413053934834,0.9781079814241038,0.5813789618361009,0.7764866668829783,0.36017819737385787,0.1347241004354218,0.02614015572858732,0.03299606670094786,0.006871896131294028,2017
493,935,102.198197885083,5.041694625,102.336761949688,4.921694625,14,20,0.2606664647348779,0.7085948213246918,0.6654288185989274,0.4901225288830812,0.5826166517670827,0.8303727697397209,0.10700326659426095,0.01557285873192436,0.0933517100626447,0.003830265400406073,2018
122,329,100.847198255179,5.941694625,100.985762319784,5.821694625,6,7,0.26091484835619283,0.8316440324650959,0.40975418979799627,0.3729634443045565,0.9104285523871256,0.25684372733752675,0.06524097157289659,0.027808676307007785,0.23712955390742124,0.004300851415693085,2018
100,284,100.743275206725,5.881694625,100.88183927133,5.761694625,7,6,0.2609288165975281,0.867535270407514,0.3632376999646471,0.3308862746779568,0.914821756246626,0.21185801939046758,0.07629890567899986,0.035595105672969966,0.21643999019892413,0.009123041360299766,2018
202,482,101.158967400541,4.201694625,101.297531465147,4.081694625,21,10,0.261168024056273,0.7850248886199692,0.28814180038665477,0.2729145974061611,0.39460092372196115,0.23951603482176326,0.19608524213250716,0.0967741935483871,0.028256584038366107,0.022919626773953827,2019
925,1607,103.653120563441,1.681694625,103.791684628046,1.561694625,42,34,0.26121837271613285,0.7724765124850977,0.5095459227598542,0.5782512519771704,0.3790326119728314,0.07699075391897772,0.5343966290645966,0.23581757508342602,0.03297324508861946,0.10017194931761805,2019
765,1310,103.029582272716,4.201694625,103.168146337321,4.081694625,21,28,0.2612381308647398,0.7196555031876344,0.9616004083117842,0.639151433374117,0.5933029677298135,0.4497671918529703,0.14033932908093436,0.0016685205784204673,0.06446741588385807,0.0007855651400525969,2017
427,846,101.990351788174,4.681694625,102.12891585278,4.561694625,17,18,0.26145642109898126,0.3389481226266592,0.8406402910102265,0.6290328771920235,0.2769223385925131,0.8824481784814672,0.1729220700270711,0.0016685205784204673,0.14019707641619814,0.000826605469167789,2019
352,745,101.782505691266,5.761694625,101.921069755872,5.641694625,8,16,0.26197968166138785,0.7643565411229305,0.5241912931562517,0.6080744517103939,0.4412071390311443,0.3099134132808355,0.22822899709245703,0.03781979977753059,0.11564943865736485,0.014173867572218874,2019
677,1181,102.717813127353,3.061694625,102.856377191959,2.941694625,30,25,0.2620502453677301,0.7198992700874834,0.8426547021071791,0.7994393974658499,0.46265804291918133,0.2700492710829598,0.1686723603625918,0.0033370411568409346,0.04143833435244214,0.0029989332170413134,2018
680,1184,102.717813127353,2.701694625,102.856377191959,2.581694625,33,25,0.26277613105228903,0.7558711981434669,0.8022453124350823,0.9196661219593576,0.5710048315089657,0.3225972222866134,0.09924159997793001,0.009454949944382647,0.022463330715619262,0.003902118939859415,2018
138,345,100.847198255179,4.021694625,100.985762319784,3.901694625,22,7,0.2628524873236737,0.8678019194555356,0.2207082740178627,0.37124662022947136,0.7578298935585659,0.15395489691026829,0.19173884505332633,0.04171301446051168,0.0020499603835966045,0.01507235798888419,2018
