"id","left","top","right","bottom","row_index","col_index","API_18","API_19","Temp_18","Temp_19","Humidity_18","Humidity_19","Precip_18","Precip_19","Wind_18","Wind_19","Vegetation_18","Vegetation_19","Traffic_18","Traffic_19","Building","Altitude","Population_18","Population_19","API_17","Temp_17","Humidity_17","Precip_17","Wind_17","Vegetation_17","Traffic_17","Population_17"
1442,103.341351418078,4.861694625,103.479915482684,4.741694625,15,31,32.0678497335934,52.2540485463724,27.3990718222825,27.8327206553839,84.8086711344962,86.4851987207407,4.90650571452415,6.14722367649629,14.7001943894569,14.9948620118384,217691.713294285,215109.800307241,23673.0192961867,23779.4502761428,313,20.5925925925926,593.201270095504,590.882788493716,26.9840917592257,26.7489901211716,86.7842036513062,3.89633596443569,15.8754752650881,220308.630752801,23678.3766059596,614.412318693853
1443,103.341351418078,4.741694625,103.479915482684,4.621694625,16,31,32.0297901169364,52.2387957109042,27.349953975317,27.8156862846024,85.0187590032076,86.7000833556479,4.86750685667798,6.12242803685045,14.606461050345,14.5118142398357,214638.443561492,211741.929386739,22550.0278163119,22917.5006489983,306,41.0821917808219,454.858470515762,455.681718739205,27.0009838402153,26.6710027051125,87.0253032444722,3.91012421743913,15.8392967309778,217370.180820316,23652.640280749,469.730543755537
1444,103.341351418078,4.621694625,103.479915482684,4.501694625,17,31,32.2542118082512,52.5644047227195,27.3604422917964,27.8132348169152,85.0009786524719,86.642543925594,4.85038201218707,6.06151129931661,14.2805314521787,14.1555321946761,209413.084329435,206163.028948317,21231.4314529647,22028.9061592492,167,28.2582417582418,207.892818300984,206.971655847923,27.2089988003886,26.73567948742,86.9901361085816,3.81778269158222,15.4290902289976,212225.765550139,24369.0459474388,215.623558445706
1445,103.341351418078,4.501694625,103.479915482684,4.381694625,18,31,32.5870761440612,53.0639270372182,27.3850438605364,27.8122169098311,85.0297533098372,86.5848171090768,4.8371822167845,5.9875519708123,13.8631490755359,13.6990925342309,197764.446064728,193941.952880142,20672.2761346992,22115.6828897032,124,74.19375,114.835478529105,117.055292218,27.5252419102981,26.8377182009272,87.0076651310012,3.67625666943569,14.8739500776978,200734.004882226,25898.9789596231,118.802017894792
1446,103.341351418078,4.381694625,103.479915482684,4.261694625,19,31,32.9104497715935,53.5667956259739,27.4147893099557,27.812123326683,85.0954432265009,86.5264872472433,4.83492785760254,5.93233441182643,13.6175609748619,13.3554512789573,186038.05405457,181664.101475917,22294.2095090188,24418.3268942216,94,27.9243243243243,119.011963070486,123.006318473946,27.8093430521092,26.9589894548456,87.067888996478,3.54155109546152,14.4669607167109,189163.309658559,27586.8651552813,122.817206913716
1447,103.341351418078,4.261694625,103.479915482684,4.141694625,20,31,33.0976939023831,53.8736755894736,27.4600546841046,27.8169248874082,85.058956443974,86.3396160060631,4.83565873208609,5.91597979541965,13.9712216511502,13.4167701806319,188289.402931572,183721.74234286,25733.2331978159,28355.2383897796,464,13.1555555555556,794.056479912015,796.672176801269,27.8556147642938,27.1625345964384,86.9746336185809,3.50460690827737,14.6230112545621,191517.719499405,28612.998799833,815.885947255946
1448,103.341351418078,4.141694625,103.479915482684,4.021694625,21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,11.5438596491228,135.879173690714,143.198879582321,NA,NA,NA,NA,NA,NA,NA,141.653033631189
1449,103.341351418078,4.021694625,103.479915482684,3.901694625,22,31,33.4024190312472,54.6058768607876,27.5788615388208,27.8335017436516,85.0037216102457,85.7481622656071,4.87798951557744,5.92064556035564,15.3462310709047,13.677130526342,198659.936671035,193143.489595532,24871.0942037872,25805.8685488257,177,12.4642857142857,637.738214434767,632.621237373837,27.7050992265916,27.6811500297939,86.7357173125595,3.4204786002362,15.5257339843937,202789.459379354,22531.027069743,649.204289635946
1450,103.341351418078,3.901694625,103.479915482684,3.781694625,23,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,46.2,1263.51421858448,1283.62763271724,NA,NA,NA,NA,NA,NA,NA,1303.22974685143
1451,103.341351418078,3.781694625,103.479915482684,3.661694625,24,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
