"id","left","top","right","bottom","row_index","col_index","Traffic_17"
88,100.209206916,4.391730625,100.298676916,4.302116625,26,1,26601.1023792119
89,100.209206916,4.302116625,100.298676916,4.212502625,27,1,25169.5410798211
90,100.209206916,4.212502625,100.298676916,4.122888625,28,1,23409.9044647869
91,100.209206916,4.122888625,100.298676916,4.033274625,29,1,21259.6804170794
92,100.209206916,4.033274625,100.298676916,3.943660625,30,1,20229.3978167503
93,100.209206916,3.943660625,100.298676916,3.854046625,31,1,20092.4557159822
94,100.209206916,3.854046625,100.298676916,3.764432625,32,1,19592.317275808
95,100.209206916,3.764432625,100.298676916,3.674818625,33,1,20041.1948400941
96,100.209206916,3.674818625,100.298676916,3.585204625,34,1,20680.0325136361
97,100.209206916,3.585204625,100.298676916,3.495590625,35,1,20885.5849198133
98,100.209206916,3.495590625,100.298676916,3.405976625,36,1,21608.4797748966
99,100.209206916,3.405976625,100.298676916,3.316362625,37,1,22053.2331757676
100,100.209206916,3.316362625,100.298676916,3.226748625,38,1,21829.0400975572
101,100.209206916,3.226748625,100.298676916,3.137134625,39,1,21546.5784351083
102,100.209206916,3.137134625,100.298676916,3.047520625,40,1,21232.6086603306
103,100.209206916,3.047520625,100.298676916,2.957906625,41,1,20951.5758160117
104,100.209206916,2.957906625,100.298676916,2.868292625,42,1,20800.5085485146
105,100.209206916,2.868292625,100.298676916,2.778678625,43,1,20702.95815629
106,100.209206916,2.778678625,100.298676916,2.689064625,44,1,20800.8786073818
107,100.209206916,2.689064625,100.298676916,2.599450625,45,1,20956.4355808613
108,100.209206916,2.599450625,100.298676916,2.509836625,46,1,21019.955989419
109,100.209206916,2.509836625,100.298676916,2.420222625,47,1,20931.1597901971
110,100.209206916,2.420222625,100.298676916,2.330608625,48,1,21076.1884693387
111,100.209206916,2.330608625,100.298676916,2.240994625,49,1,21745.134567451
112,100.209206916,2.240994625,100.298676916,2.151380625,50,1,22156.4942531591
113,100.209206916,2.151380625,100.298676916,2.061766625,51,1,22250.4558734171
114,100.209206916,2.061766625,100.298676916,1.972152625,52,1,22250.4558734171
115,100.209206916,1.972152625,100.298676916,1.882538625,53,1,22250.4558734171
116,100.209206916,1.882538625,100.298676916,1.792924625,54,1,22250.4558734171
117,100.209206916,1.792924625,100.298676916,1.703310625,55,1,22250.4558734171
118,100.209206916,1.703310625,100.298676916,1.613696625,56,1,22250.4558734171
119,100.209206916,1.613696625,100.298676916,1.524082625,57,1,22250.4558734171
120,100.209206916,1.524082625,100.298676916,1.434468625,58,1,22250.4558734171
121,100.209206916,1.434468625,100.298676916,1.344854625,59,1,22250.4558734171
122,100.209206916,1.344854625,100.298676916,1.255240625,60,1,22250.4558734171
123,100.298676916,6.721694625,100.388146916,6.632080625,0,2,22570.7570913494
124,100.298676916,6.632080625,100.388146916,6.542466625,1,2,21567.9648022193
125,100.298676916,6.542466625,100.388146916,6.452852625,2,2,21709.3556469404
126,100.298676916,6.452852625,100.388146916,6.363238625,3,2,23885.7463817125
127,100.298676916,6.363238625,100.388146916,6.273624625,4,2,26335.7638237253
128,100.298676916,6.273624625,100.388146916,6.184010625,5,2,25322.8927973956
129,100.298676916,6.184010625,100.388146916,6.094396625,6,2,22919.0760558827
130,100.298676916,6.094396625,100.388146916,6.004782625,7,2,23584.1738290347
131,100.298676916,6.004782625,100.388146916,5.915168625,8,2,24022.8746076419
132,100.298676916,5.915168625,100.388146916,5.825554625,9,2,23651.0163256764
133,100.298676916,5.825554625,100.388146916,5.735940625,10,2,23049.0030311979
134,100.298676916,5.735940625,100.388146916,5.646326625,11,2,22537.0068425168
135,100.298676916,5.646326625,100.388146916,5.556712625,12,2,22885.1590370125
136,100.298676916,5.556712625,100.388146916,5.467098625,13,2,27925.6996678797
137,100.298676916,5.467098625,100.388146916,5.377484625,14,2,49881.5654517007
138,100.298676916,5.377484625,100.388146916,5.287870625,15,2,60410.2807567775
139,100.298676916,5.287870625,100.388146916,5.198256625,16,2,55063.1052134948
140,100.298676916,5.198256625,100.388146916,5.108642625,17,2,48476.3099277057
141,100.298676916,5.108642625,100.388146916,5.019028625,18,2,42826.2000342911
142,100.298676916,5.019028625,100.388146916,4.929414625,19,2,38485.4109219382
143,100.298676916,4.929414625,100.388146916,4.839800625,20,2,35609.8724940975
144,100.298676916,4.839800625,100.388146916,4.750186625,21,2,33523.9121305115
145,100.298676916,4.750186625,100.388146916,4.660572625,22,2,31785.1572460336
146,100.298676916,4.660572625,100.388146916,4.570958625,23,2,30587.9197881822
