"id","left","top","right","bottom","row_index","col_index","API_19"
286,100.477616916,3.047520625,100.567086916,2.957906625,41,4,56.4717688137759
287,100.477616916,2.957906625,100.567086916,2.868292625,42,4,56.4968607093474
288,100.477616916,2.868292625,100.567086916,2.778678625,43,4,56.4656826517039
289,100.477616916,2.778678625,100.567086916,2.689064625,44,4,56.3787708819144
290,100.477616916,2.689064625,100.567086916,2.599450625,45,4,56.2339251602322
291,100.477616916,2.599450625,100.567086916,2.509836625,46,4,56.0501443341389
292,100.477616916,2.509836625,100.567086916,2.420222625,47,4,55.860562576859
293,100.477616916,2.420222625,100.567086916,2.330608625,48,4,55.6779552655443
294,100.477616916,2.330608625,100.567086916,2.240994625,49,4,55.5165677782268
295,100.477616916,2.240994625,100.567086916,2.151380625,50,4,55.3861416433862
296,100.477616916,2.151380625,100.567086916,2.061766625,51,4,55.2954328702696
297,100.477616916,2.061766625,100.567086916,1.972152625,52,4,55.242033225358
298,100.477616916,1.972152625,100.567086916,1.882538625,53,4,55.2152705080486
299,100.477616916,1.882538625,100.567086916,1.792924625,54,4,55.2006557510948
300,100.477616916,1.792924625,100.567086916,1.703310625,55,4,55.1935888748347
301,100.477616916,1.703310625,100.567086916,1.613696625,56,4,55.1927095082452
302,100.477616916,1.613696625,100.567086916,1.524082625,57,4,55.1927095082452
303,100.477616916,1.524082625,100.567086916,1.434468625,58,4,55.1927095082452
304,100.477616916,1.434468625,100.567086916,1.344854625,59,4,55.1927095082452
305,100.477616916,1.344854625,100.567086916,1.255240625,60,4,55.1927095082452
306,100.567086916,6.721694625,100.656556916,6.632080625,0,5,52.6304879986547
307,100.567086916,6.632080625,100.656556916,6.542466625,1,5,52.4213501559022
308,100.567086916,6.542466625,100.656556916,6.452852625,2,5,52.2699936693586
309,100.567086916,6.452852625,100.656556916,6.363238625,3,5,52.189999414773
310,100.567086916,6.363238625,100.656556916,6.273624625,4,5,52.1879022677707
311,100.567086916,6.273624625,100.656556916,6.184010625,5,5,52.2634710064067
312,100.567086916,6.184010625,100.656556916,6.094396625,6,5,52.4276298697031
313,100.567086916,6.094396625,100.656556916,6.004782625,7,5,52.6797071817157
314,100.567086916,6.004782625,100.656556916,5.915168625,8,5,52.9986265612319
315,100.567086916,5.915168625,100.656556916,5.825554625,9,5,53.3612858076635
316,100.567086916,5.825554625,100.656556916,5.735940625,10,5,53.7421326120779
317,100.567086916,5.735940625,100.656556916,5.646326625,11,5,54.1108582635073
318,100.567086916,5.646326625,100.656556916,5.556712625,12,5,54.4251868026738
319,100.567086916,5.556712625,100.656556916,5.467098625,13,5,54.6758595375554
320,100.567086916,5.467098625,100.656556916,5.377484625,14,5,54.8513781821142
321,100.567086916,5.377484625,100.656556916,5.287870625,15,5,55.1787230510896
322,100.567086916,5.287870625,100.656556916,5.198256625,16,5,55.5083301913606
323,100.567086916,5.198256625,100.656556916,5.108642625,17,5,55.763784626636
324,100.567086916,5.108642625,100.656556916,5.019028625,18,5,55.959897302293
325,100.567086916,5.019028625,100.656556916,4.929414625,19,5,56.1099140159961
326,100.567086916,4.929414625,100.656556916,4.839800625,20,5,56.2490400798932
327,100.567086916,4.839800625,100.656556916,4.750186625,21,5,56.3735934378435
328,100.567086916,4.750186625,100.656556916,4.660572625,22,5,56.4430291993604
329,100.567086916,4.660572625,100.656556916,4.570958625,23,5,56.4475271626424
330,100.567086916,4.570958625,100.656556916,4.481344625,24,5,56.3989381884745
331,100.567086916,4.481344625,100.656556916,4.391730625,25,5,56.3035204600864
332,100.567086916,4.391730625,100.656556916,4.302116625,26,5,56.1690476348913
333,100.567086916,4.302116625,100.656556916,4.212502625,27,5,55.9980207017722
334,100.567086916,4.212502625,100.656556916,4.122888625,28,5,55.8045972832874
335,100.567086916,4.122888625,100.656556916,4.033274625,29,5,55.6218446298531
336,100.567086916,4.033274625,100.656556916,3.943660625,30,5,55.4864570738281
337,100.567086916,3.943660625,100.656556916,3.854046625,31,5,55.4164893116484
338,100.567086916,3.854046625,100.656556916,3.764432625,32,5,55.413660225923
339,100.567086916,3.764432625,100.656556916,3.674818625,33,5,55.4795581934423
340,100.567086916,3.674818625,100.656556916,3.585204625,34,5,55.605858860248
341,100.567086916,3.585204625,100.656556916,3.495590625,35,5,55.7824566491854
342,100.567086916,3.495590625,100.656556916,3.405976625,36,5,55.9933345493005
343,100.567086916,3.405976625,100.656556916,3.316362625,37,5,56.2209528130405
344,100.567086916,3.316362625,100.656556916,3.226748625,38,5,56.4501681660518
345,100.567086916,3.226748625,100.656556916,3.137134625,39,5,56.6587648163768
346,100.567086916,3.137134625,100.656556916,3.047520625,40,5,56.8241185702077
347,100.567086916,3.047520625,100.656556916,2.957906625,41,5,56.9300215069029
348,100.567086916,2.957906625,100.656556916,2.868292625,42,5,56.9709390538479
349,100.567086916,2.868292625,100.656556916,2.778678625,43,5,56.9450667034211
350,100.567086916,2.778678625,100.656556916,2.689064625,44,5,56.8539722700314
351,100.567086916,2.689064625,100.656556916,2.599450625,45,5,56.6974744777732
352,100.567086916,2.599450625,100.656556916,2.509836625,46,5,56.4776529655534
353,100.567086916,2.509836625,100.656556916,2.420222625,47,5,56.2273021975946
354,100.567086916,2.420222625,100.656556916,2.330608625,48,5,55.9807343718857
355,100.567086916,2.330608625,100.656556916,2.240994625,49,5,55.7519395607499
356,100.567086916,2.240994625,100.656556916,2.151380625,50,5,55.55452633423
357,100.567086916,2.151380625,100.656556916,2.061766625,51,5,55.3986505452046
358,100.567086916,2.061766625,100.656556916,1.972152625,52,5,55.2936932972047
359,100.567086916,1.972152625,100.656556916,1.882538625,53,5,55.2386852396695
360,100.567086916,1.882538625,100.656556916,1.792924625,54,5,55.2140619141075
361,100.567086916,1.792924625,100.656556916,1.703310625,55,5,55.2002081411457
362,100.567086916,1.703310625,100.656556916,1.613696625,56,5,55.1935385873136
363,100.567086916,1.613696625,100.656556916,1.524082625,57,5,55.1927095082452
364,100.567086916,1.524082625,100.656556916,1.434468625,58,5,55.1927095082452
365,100.567086916,1.434468625,100.656556916,1.344854625,59,5,55.1927095082452
366,100.567086916,1.344854625,100.656556916,1.255240625,60,5,55.1927095082452
367,100.656556916,6.721694625,100.746026916,6.632080625,0,6,52.8966512195347
