id,left,top,right,bottom,row_index,col_index,id_2,left_2,top_2,right_2,bottom_2,row_index_2,col_index_2,Temp_19
1308,103.029582272715714,4.441694625000000,103.168146337321232,4.321694624999999,19,28,"2101",103.161716916,4.391730625,103.251186916,4.302116625,"26","34",27.8435390619832
1309,103.029582272715714,4.321694624999999,103.168146337321232,4.201694625000000,20,28,"2041",103.072246916,4.302116625,103.161716916,4.212502625,"27","33",27.8976206750691
1309,103.029582272715714,4.321694624999999,103.168146337321232,4.201694625000000,20,28,"2042",103.072246916,4.212502625,103.161716916,4.122888625,"28","33",27.9098631263913
1310,103.029582272715714,4.201694625000000,103.168146337321232,4.081694625000000,21,28,"2043",103.072246916,4.122888625,103.161716916,4.033274625,"29","33",27.9101473758807
1311,103.029582272715714,4.081694625000000,103.168146337321232,3.961694625000000,22,28,"2044",103.072246916,4.033274625,103.161716916,3.943660625,"30","33",27.8990787840819
1312,103.029582272715714,3.961694625000000,103.168146337321232,3.841694625000000,23,28,"2045",103.072246916,3.943660625,103.161716916,3.854046625,"31","33",27.8795405092139
1312,103.029582272715714,3.961694625000000,103.168146337321232,3.841694625000000,23,28,"2046",103.072246916,3.854046625,103.161716916,3.764432625,"32","33",27.8552326151488
1313,103.029582272715714,3.841694625000000,103.168146337321232,3.721694625000000,24,28,"2047",103.072246916,3.764432625,103.161716916,3.674818625,"33","33",27.8294058306533
1314,103.029582272715714,3.721694625000000,103.168146337321232,3.601694624999999,25,28,"2048",103.072246916,3.674818625,103.161716916,3.585204625,"34","33",27.8041976046732
1315,103.029582272715714,3.601694624999999,103.168146337321232,3.481694625000000,26,28,"2049",103.072246916,3.585204625,103.161716916,3.495590625,"35","33",27.7833009525952
1315,103.029582272715714,3.601694624999999,103.168146337321232,3.481694625000000,26,28,"2050",103.072246916,3.495590625,103.161716916,3.405976625,"36","33",27.7713622615612
1316,103.029582272715714,3.481694625000000,103.168146337321232,3.361694625000000,27,28,"2051",103.072246916,3.405976625,103.161716916,3.316362625,"37","33",27.7767288155278
1317,103.029582272715714,3.361694625000000,103.168146337321232,3.241694625000000,28,28,"2052",103.072246916,3.316362625,103.161716916,3.226748625,"38","33",27.8009621294958
